trip_id,feedback_text,timestamp
T00000,"Great driver, very professional and courteous.",2024-01-01 00:00:00
T00001,"Great driver, very professional and courteous.",2024-01-01 00:30:00
T00002,"Excellent service, driver was very helpful.",2024-01-01 01:00:00
T00003,"Smooth ride, arrived on time. Would recommend!",2024-01-01 01:30:00
T00004,"Smooth ride, arrived on time. Would recommend!",2024-01-01 02:00:00
T00005,"Smooth ride, arrived on time. Would recommend!",2024-01-01 02:30:00
T00006,"Great driver, very professional and courteous.",2024-01-01 03:00:00
T00007,"Great driver, very professional and courteous.",2024-01-01 03:30:00
T00008,"Safe driving, comfortable journey. Thank you!",2024-01-01 04:00:00
T00009,"Great driver, very professional and courteous.",2024-01-01 04:30:00
T00010,"Great driver, very professional and courteous.",2024-01-01 05:00:00
T00011,"Great driver, very professional and courteous.",2024-01-01 05:30:00
T00012,"Smooth ride, arrived on time. Would recommend!",2024-01-01 06:00:00
T00013,"Smooth ride, arrived on time. Would recommend!",2024-01-01 06:30:00
T00014,"Great driver, very professional and courteous.",2024-01-01 07:00:00
T00015,"Smooth ride, arrived on time. Would recommend!",2024-01-01 07:30:00
T00016,"Safe driving, comfortable journey. Thank you!",2024-01-01 08:00:00
T00017,"Smooth ride, arrived on time. Would recommend!",2024-01-01 08:30:00
T00018,"Safe driving, comfortable journey. Thank you!",2024-01-01 09:00:00
T00019,"Excellent service, driver was very helpful.",2024-01-01 09:30:00
T00020,"Great driver, very professional and courteous.",2024-01-01 10:00:00
T00021,"Smooth ride, arrived on time. Would recommend!",2024-01-01 10:30:00
T00022,"Safe driving, comfortable journey. Thank you!",2024-01-01 11:00:00
T00023,"Excellent service, driver was very helpful.",2024-01-01 11:30:00
T00024,"Excellent service, driver was very helpful.",2024-01-01 12:00:00
T00025,"Smooth ride, arrived on time. Would recommend!",2024-01-01 12:30:00
T00026,"Smooth ride, arrived on time. Would recommend!",2024-01-01 13:00:00
T00027,"Excellent service, driver was very helpful.",2024-01-01 13:30:00
T00028,"Great driver, very professional and courteous.",2024-01-01 14:00:00
T00029,"Great driver, very professional and courteous.",2024-01-01 14:30:00
T00030,"Safe driving, comfortable journey. Thank you!",2024-01-01 15:00:00
T00031,"Great driver, very professional and courteous.",2024-01-01 15:30:00
T00032,"Excellent service, driver was very helpful.",2024-01-01 16:00:00
T00033,"Excellent service, driver was very helpful.",2024-01-01 16:30:00
T00034,"Excellent service, driver was very helpful.",2024-01-01 17:00:00
T00035,"Great driver, very professional and courteous.",2024-01-01 17:30:00
T00036,"Safe driving, comfortable journey. Thank you!",2024-01-01 18:00:00
T00037,"Great driver, very professional and courteous.",2024-01-01 18:30:00
T00038,"Safe driving, comfortable journey. Thank you!",2024-01-01 19:00:00
T00039,"Great driver, very professional and courteous.",2024-01-01 19:30:00
T00040,"Excellent service, driver was very helpful.",2024-01-01 20:00:00
T00041,"Excellent service, driver was very helpful.",2024-01-01 20:30:00
T00042,"Smooth ride, arrived on time. Would recommend!",2024-01-01 21:00:00
T00043,"Great driver, very professional and courteous.",2024-01-01 21:30:00
T00044,"Great driver, very professional and courteous.",2024-01-01 22:00:00
T00045,"Smooth ride, arrived on time. Would recommend!",2024-01-01 22:30:00
T00046,"Excellent service, driver was very helpful.",2024-01-01 23:00:00
T00047,"Great driver, very professional and courteous.",2024-01-01 23:30:00
T00048,"Smooth ride, arrived on time. Would recommend!",2024-01-02 00:00:00
T00049,"Great driver, very professional and courteous.",2024-01-02 00:30:00
T00050,"Safe driving, comfortable journey. Thank you!",2024-01-02 01:00:00
T00051,"Excellent service, driver was very helpful.",2024-01-02 01:30:00
T00052,"Safe driving, comfortable journey. Thank you!",2024-01-02 02:00:00
T00053,"Excellent service, driver was very helpful.",2024-01-02 02:30:00
T00054,"Smooth ride, arrived on time. Would recommend!",2024-01-02 03:00:00
T00055,"Excellent service, driver was very helpful.",2024-01-02 03:30:00
T00056,"Excellent service, driver was very helpful.",2024-01-02 04:00:00
